ddi_id,drug1,drug2,description,level
4034,Aliskiren,Benazepril,ALISKIREN/BENAZEPRIL [VA Drug Interaction],MODERATE
4036,Aliskiren,Enalapril,ALISKIREN/ENALAPRIL [VA Drug Interaction],MODERATE
4037,Aliskiren,Eprosartan,ALISKIREN/EPROSARTAN [VA Drug Interaction],MODERATE
4038,Aliskiren,Fosinopril,ALISKIREN/FOSINOPRIL [VA Drug Interaction],MODERATE
4039,Aliskiren,Lisinopril,ALISKIREN/LISINOPRIL [VA Drug Interaction],MODERATE
4040,Aliskiren,Losartan,ALISKIREN/LOSARTAN [VA Drug Interaction],MODERATE
4042,Aliskiren,Perindopril,ALISKIREN/PERINDOPRIL [VA Drug Interaction],MODERATE
4043,Aliskiren,Quinapril,ALISKIREN/QUINAPRIL [VA Drug Interaction],MODERATE
4044,Aliskiren,Ramipril,ALISKIREN/RAMIPRIL [VA Drug Interaction],MODERATE
4045,Aliskiren,Telmisartan,ALISKIREN/TELMISARTAN [VA Drug Interaction],MODERATE
4046,Aliskiren,Trandolapril,ALISKIREN/TRANDOLAPRIL [VA Drug Interaction],MODERATE
4047,Aliskiren,Valsartan,ALISKIREN/VALSARTAN [VA Drug Interaction],MODERATE
4048,Clobazam,Tamoxifen,CLOBAZAM/TAMOXIFEN [VA Drug Interaction],MODERATE
4049,Romidepsin,Boceprevir,BOCEPREVIR/ROMIDEPSIN [VA Drug Interaction],MODERATE
4050,Romidepsin,Conivaptan,CONIVAPTAN/ROMIDEPSIN [VA Drug Interaction],MODERATE
4051,Romidepsin,Posaconazole,POSACONAZOLE/ROMIDEPSIN [VA Drug Interaction],MODERATE
4052,Romidepsin,Telaprevir,ROMIDEPSIN/TELAPREVIR [VA Drug Interaction],MODERATE
4053,Quinidine,Telithromycin,QUINIDINE/TELITHROMYCIN [VA Drug Interaction],MODERATE
4054,Boceprevir,Darunavir,BOCEPREVIR/DARUNAVIR [VA Drug Interaction],MAJOR
4055,Boceprevir,Atazanavir,ATAZANAVIR/BOCEPREVIR [VA Drug Interaction],MAJOR
4056,Boceprevir,Lopinavir,BOCEPREVIR/LOPINAVIR [VA Drug Interaction],MAJOR
4057,Ixabepilone,Atazanavir,ATAZANAVIR/IXABEPILONE [VA Drug Interaction],MODERATE
4058,Ixabepilone,Boceprevir,BOCEPREVIR/IXABEPILONE [VA Drug Interaction],MODERATE
4059,Ixabepilone,Conivaptan,CONIVAPTAN/IXABEPILONE [VA Drug Interaction],MODERATE
4060,Ixabepilone,Lopinavir,IXABEPILONE/LOPINAVIR [VA Drug Interaction],MODERATE
4061,Ixabepilone,Posaconazole,IXABEPILONE/POSACONAZOLE [VA Drug Interaction],MODERATE
4062,Ixabepilone,Telaprevir,IXABEPILONE/TELAPREVIR [VA Drug Interaction],MODERATE
4063,Levofloxacin,Dronedarone,DRONEDARONE/LEVOFLOXACIN [VA Drug Interaction],MODERATE
4064,Moxifloxacin,Dronedarone,DRONEDARONE/MOXIFLOXACIN [VA Drug Interaction],MODERATE
4065,Ciprofloxacin,Dronedarone,CIPROFLOXACIN/DRONEDARONE [VA Drug Interaction],MODERATE
4066,Norfloxacin,Dronedarone,DRONEDARONE/NORFLOXACIN [VA Drug Interaction],MODERATE
4067,Ofloxacin,Dronedarone,DRONEDARONE/OFLOXACIN [VA Drug Interaction],MODERATE
4068,Gemifloxacin,Dronedarone,DRONEDARONE/GEMIFLOXACIN [VA Drug Interaction],MODERATE
4069,Cilostazol,Esomeprazole,CILOSTAZOL/ESOMEPRAZOLE [VA Drug Interaction],MODERATE
4070,Axitinib,Boceprevir,AXITINIB/BOCEPREVIR [VA Drug Interaction],MODERATE
4071,Axitinib,Clarithromycin,AXITINIB/CLARITHROMYCIN [VA Drug Interaction],MODERATE
4072,Axitinib,Conivaptan,AXITINIB/CONIVAPTAN [VA Drug Interaction],MODERATE
4073,Axitinib,Itraconazole,AXITINIB/ITRACONAZOLE [VA Drug Interaction],MODERATE
4074,Axitinib,Ketoconazole,AXITINIB/KETOCONAZOLE [VA Drug Interaction],MODERATE
4075,Axitinib,Lopinavir,AXITINIB/LOPINAVIR [VA Drug Interaction],MODERATE
4076,Axitinib,Ritonavir,AXITINIB/RITONAVIR [VA Drug Interaction],MODERATE
4077,Axitinib,Nefazodone,AXITINIB/NEFAZODONE [VA Drug Interaction],MODERATE
4078,Axitinib,Posaconazole,AXITINIB/POSACONAZOLE [VA Drug Interaction],MODERATE
4079,Axitinib,Saquinavir,AXITINIB/SAQUINAVIR [VA Drug Interaction],MODERATE
4080,Axitinib,Telaprevir,AXITINIB/TELAPREVIR [VA Drug Interaction],MODERATE
4081,Axitinib,Telithromycin,AXITINIB/TELITHROMYCIN [VA Drug Interaction],MODERATE
4082,Axitinib,Troleandomycin,AXITINIB/TROLEANDOMYCIN [VA Drug Interaction],MODERATE
4083,Axitinib,Voriconazole,AXITINIB/VORICONAZOLE [VA Drug Interaction],MODERATE
4084,Axitinib,Bosentan,AXITINIB/BOSENTAN [VA Drug Interaction],MODERATE
4085,Axitinib,Carbamazepine,AXITINIB/CARBAMAZEPINE [VA Drug Interaction],MODERATE
4086,Axitinib,Dexamethasone,AXITINIB/DEXAMETHASONE [VA Drug Interaction],MODERATE
4087,Axitinib,Efavirenz,AXITINIB/EFAVIRENZ [VA Drug Interaction],MODERATE
4088,Axitinib,Etravirine,AXITINIB/ETRAVIRINE [VA Drug Interaction],MODERATE
4089,Axitinib,Modafinil,AXITINIB/MODAFINIL [VA Drug Interaction],MODERATE
4090,Axitinib,Nafcillin,AXITINIB/NAFCILLIN [VA Drug Interaction],MODERATE
4091,Axitinib,Phenobarbital,AXITINIB/PHENOBARBITAL [VA Drug Interaction],MODERATE
4092,Axitinib,Phenytoin,AXITINIB/PHENYTOIN [VA Drug Interaction],MODERATE
4093,Axitinib,Primidone,AXITINIB/PRIMIDONE [VA Drug Interaction],MODERATE
4094,Axitinib,Rifapentine,AXITINIB/RIFAPENTINE [VA Drug Interaction],MODERATE
4095,Boceprevir,Alprazolam,ALPRAZOLAM/BOCEPREVIR [VA Drug Interaction],MODERATE
4096,Telaprevir,Alprazolam,ALPRAZOLAM/TELAPREVIR [VA Drug Interaction],MODERATE
4097,Boceprevir,Methadone,BOCEPREVIR/METHADONE [VA Drug Interaction],MODERATE
4098,Boceprevir,Buprenorphine,BOCEPREVIR/BUPRENORPHINE [VA Drug Interaction],MODERATE
4099,Telaprevir,Methadone,METHADONE/TELAPREVIR [VA Drug Interaction],MODERATE
4100,Telaprevir,Buprenorphine,BUPRENORPHINE/TELAPREVIR [VA Drug Interaction],MODERATE
4101,Telaprevir,Tenofovir,TELAPREVIR/TENOFOVIR [VA Drug Interaction],MODERATE
4102,Domperidone,Ketoconazole,DOMPERIDONE/KETOCONAZOLE [VA Drug Interaction],MAJOR
4103,Itraconazole,Nevirapine,ITRACONAZOLE/NEVIRAPINE [VA Drug Interaction],MODERATE
4104,Eplerenone,Amprenavir,AMPRENAVIR/EPLERENONE [VA Drug Interaction],MODERATE
4105,Eplerenone,Aprepitant,APREPITANT/EPLERENONE [VA Drug Interaction],MODERATE
4106,Eplerenone,Atazanavir,ATAZANAVIR/EPLERENONE [VA Drug Interaction],MODERATE
4107,Eplerenone,Ciprofloxacin,CIPROFLOXACIN/EPLERENONE [VA Drug Interaction],MODERATE
4108,Eplerenone,Darunavir,DARUNAVIR/EPLERENONE [VA Drug Interaction],MODERATE
4109,Eplerenone,Diltiazem,DILTIAZEM/EPLERENONE [VA Drug Interaction],MODERATE
4110,Eplerenone,Fosamprenavir,EPLERENONE/FOSAMPRENAVIR [VA Drug Interaction],MODERATE
4111,Eplerenone,Imatinib,EPLERENONE/IMATINIB [VA Drug Interaction],MODERATE
4112,Eplerenone,Boceprevir,BOCEPREVIR/EPLERENONE [VA Drug Interaction],MAJOR
4113,Eplerenone,Conivaptan,CONIVAPTAN/EPLERENONE [VA Drug Interaction],MAJOR
4114,Eplerenone,Posaconazole,EPLERENONE/POSACONAZOLE [VA Drug Interaction],MAJOR
4115,Eplerenone,Telaprevir,EPLERENONE/TELAPREVIR [VA Drug Interaction],MAJOR
4116,Eplerenone,Telithromycin,EPLERENONE/TELITHROMYCIN [VA Drug Interaction],MAJOR
4117,Eplerenone,Voriconazole,EPLERENONE/VORICONAZOLE [VA Drug Interaction],MAJOR
4118,Lovastatin,Troleandomycin,LOVASTATIN/TROLEANDOMYCIN [VA Drug Interaction],MAJOR
4119,Pitavastatin,Troleandomycin,PITAVASTATIN/TROLEANDOMYCIN [VA Drug Interaction],MAJOR
4120,Pravastatin,Clarithromycin,CLARITHROMYCIN/PRAVASTATIN [VA Drug Interaction],MAJOR
4121,Pravastatin,Erythromycin,ERYTHROMYCIN/PRAVASTATIN [VA Drug Interaction],MAJOR
4122,Pravastatin,Troleandomycin,PRAVASTATIN/TROLEANDOMYCIN [VA Drug Interaction],MAJOR
4123,Simvastatin,Troleandomycin,SIMVASTATIN/TROLEANDOMYCIN [VA Drug Interaction],MAJOR
4124,Bretylium,Gemifloxacin,BRETYLIUM/GEMIFLOXACIN [VA Drug Interaction],MAJOR
4125,Bretylium,Levofloxacin,BRETYLIUM/LEVOFLOXACIN [VA Drug Interaction],MAJOR
4126,Bretylium,Lomefloxacin,BRETYLIUM/LOMEFLOXACIN [VA Drug Interaction],MAJOR
4127,Bretylium,Moxifloxacin,BRETYLIUM/MOXIFLOXACIN [VA Drug Interaction],MAJOR
4128,Bretylium,Nalidixic Acid,BRETYLIUM/NALIDIXIC ACID [VA Drug Interaction],MAJOR
4129,Bretylium,Norfloxacin,BRETYLIUM/NORFLOXACIN [VA Drug Interaction],MAJOR
4130,Bretylium,Ofloxacin,BRETYLIUM/OFLOXACIN [VA Drug Interaction],MAJOR
4131,Disopyramide,Ciprofloxacin,CIPROFLOXACIN/DISOPYRAMIDE [VA Drug Interaction],MODERATE
4132,Disopyramide,Gemifloxacin,DISOPYRAMIDE/GEMIFLOXACIN [VA Drug Interaction],MODERATE
4133,Disopyramide,Levofloxacin,DISOPYRAMIDE/LEVOFLOXACIN [VA Drug Interaction],MODERATE
4134,Disopyramide,Moxifloxacin,DISOPYRAMIDE/MOXIFLOXACIN [VA Drug Interaction],MODERATE
4135,Disopyramide,Nalidixic Acid,DISOPYRAMIDE/NALIDIXIC ACID [VA Drug Interaction],MODERATE
4136,Disopyramide,Norfloxacin,DISOPYRAMIDE/NORFLOXACIN [VA Drug Interaction],MODERATE
4137,Disopyramide,Ofloxacin,DISOPYRAMIDE/OFLOXACIN [VA Drug Interaction],MODERATE
4138,Dofetilide,Ciprofloxacin,CIPROFLOXACIN/DOFETILIDE [VA Drug Interaction],MODERATE
4139,Dofetilide,Nalidixic Acid,DOFETILIDE/NALIDIXIC ACID [VA Drug Interaction],MODERATE
4140,Dronedarone,Nalidixic Acid,DRONEDARONE/NALIDIXIC ACID [VA Drug Interaction],MODERATE
4141,Procainamide,Ciprofloxacin,CIPROFLOXACIN/PROCAINAMIDE [VA Drug Interaction],MODERATE
4142,Procainamide,Gemifloxacin,GEMIFLOXACIN/PROCAINAMIDE [VA Drug Interaction],MAJOR
4143,Levofloxacin,Procainamide,LEVOFLOXACIN/PROCAINAMIDE [VA Drug Interaction],MAJOR
4144,Procainamide,Nalidixic Acid,NALIDIXIC ACID/PROCAINAMIDE [VA Drug Interaction],MAJOR
4145,Procainamide,Norfloxacin,NORFLOXACIN/PROCAINAMIDE [VA Drug Interaction],MAJOR
4146,Procainamide,Ofloxacin,OFLOXACIN/PROCAINAMIDE [VA Drug Interaction],MAJOR
4147,Quinidine,Ciprofloxacin,CIPROFLOXACIN/QUINIDINE [VA Drug Interaction],MODERATE
4148,Quinidine,Gemifloxacin,GEMIFLOXACIN/QUINIDINE [VA Drug Interaction],MAJOR
4149,Quinidine,Levofloxacin,LEVOFLOXACIN/QUINIDINE [VA Drug Interaction],MAJOR
4150,Quinidine,Nalidixic Acid,NALIDIXIC ACID/QUINIDINE [VA Drug Interaction],MAJOR
4151,Quinidine,Norfloxacin,NORFLOXACIN/QUINIDINE [VA Drug Interaction],MAJOR
4152,Quinidine,Ofloxacin,OFLOXACIN/QUINIDINE [VA Drug Interaction],MAJOR
4153,Sotalol,Gemifloxacin,GEMIFLOXACIN/SOTALOL [VA Drug Interaction],MAJOR
4154,Sotalol,Nalidixic Acid,NALIDIXIC ACID/SOTALOL [VA Drug Interaction],MAJOR
4155,Bortezomib,Carbamazepine,BORTEZOMIB/CARBAMAZEPINE [VA Drug Interaction],MODERATE
4156,Bortezomib,Dexamethasone,BORTEZOMIB/DEXAMETHASONE [VA Drug Interaction],MODERATE
4157,Bortezomib,Phenobarbital,BORTEZOMIB/PHENOBARBITAL [VA Drug Interaction],MODERATE
4158,Bortezomib,Phenytoin,BORTEZOMIB/PHENYTOIN [VA Drug Interaction],MODERATE
4159,Bortezomib,Primidone,BORTEZOMIB/PRIMIDONE [VA Drug Interaction],MODERATE
4160,Bortezomib,Rifabutin,BORTEZOMIB/RIFABUTIN [VA Drug Interaction],MODERATE
4161,Fosaprepitant,Vardenafil,FOSAPREPITANT/VARDENAFIL [VA Drug Interaction],MAJOR
4162,Amiodarone,Colchicine,AMIODARONE/COLCHICINE [VA Drug Interaction],MODERATE
4163,Aripiprazole,Cabergoline,ARIPIPRAZOLE/CABERGOLINE [VA Drug Interaction],MODERATE
4164,Aripiprazole,Entacapone,ARIPIPRAZOLE/ENTACAPONE [VA Drug Interaction],MODERATE
4165,Aripiprazole,Levodopa,ARIPIPRAZOLE/LEVODOPA [VA Drug Interaction],MODERATE
4166,Aripiprazole,Pergolide,ARIPIPRAZOLE/PERGOLIDE [VA Drug Interaction],MODERATE
4167,Aripiprazole,Pramipexole,ARIPIPRAZOLE/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4168,Chlorpromazine,Cabergoline,CABERGOLINE/CHLORPROMAZINE [VA Drug Interaction],MODERATE
4169,Chlorpromazine,Entacapone,CHLORPROMAZINE/ENTACAPONE [VA Drug Interaction],MODERATE
4170,Chlorpromazine,Levodopa,CHLORPROMAZINE/LEVODOPA [VA Drug Interaction],MODERATE
4171,Chlorpromazine,Pergolide,CHLORPROMAZINE/PERGOLIDE [VA Drug Interaction],MODERATE
4172,Chlorpromazine,Pramipexole,CHLORPROMAZINE/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4173,Droperidol,Cabergoline,CABERGOLINE/DROPERIDOL [VA Drug Interaction],MODERATE
4174,Droperidol,Entacapone,DROPERIDOL/ENTACAPONE [VA Drug Interaction],MODERATE
4175,Droperidol,Levodopa,DROPERIDOL/LEVODOPA [VA Drug Interaction],MODERATE
4176,Droperidol,Pergolide,DROPERIDOL/PERGOLIDE [VA Drug Interaction],MODERATE
4177,Droperidol,Pramipexole,DROPERIDOL/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4178,Fluphenazine,Cabergoline,CABERGOLINE/FLUPHENAZINE [VA Drug Interaction],MODERATE
4179,Fluphenazine,Entacapone,ENTACAPONE/FLUPHENAZINE [VA Drug Interaction],MODERATE
4180,Fluphenazine,Levodopa,FLUPHENAZINE/LEVODOPA [VA Drug Interaction],MODERATE
4181,Fluphenazine,Pergolide,FLUPHENAZINE/PERGOLIDE [VA Drug Interaction],MODERATE
4182,Fluphenazine,Pramipexole,FLUPHENAZINE/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4183,Haloperidol,Cabergoline,CABERGOLINE/HALOPERIDOL [VA Drug Interaction],MODERATE
4184,Haloperidol,Entacapone,ENTACAPONE/HALOPERIDOL [VA Drug Interaction],MODERATE
4185,Haloperidol,Levodopa,HALOPERIDOL/LEVODOPA [VA Drug Interaction],MODERATE
4186,Haloperidol,Pergolide,HALOPERIDOL/PERGOLIDE [VA Drug Interaction],MODERATE
4187,Haloperidol,Pramipexole,HALOPERIDOL/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4188,Loxapine,Cabergoline,CABERGOLINE/LOXAPINE [VA Drug Interaction],MODERATE
4189,Loxapine,Entacapone,ENTACAPONE/LOXAPINE [VA Drug Interaction],MODERATE
4190,Loxapine,Levodopa,LEVODOPA/LOXAPINE [VA Drug Interaction],MODERATE
4191,Loxapine,Pergolide,LOXAPINE/PERGOLIDE [VA Drug Interaction],MODERATE
4192,Loxapine,Pramipexole,LOXAPINE/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4193,Molindone,Cabergoline,CABERGOLINE/MOLINDONE [VA Drug Interaction],MODERATE
4194,Molindone,Entacapone,ENTACAPONE/MOLINDONE [VA Drug Interaction],MODERATE
4195,Molindone,Levodopa,LEVODOPA/MOLINDONE [VA Drug Interaction],MODERATE
4196,Molindone,Pergolide,MOLINDONE/PERGOLIDE [VA Drug Interaction],MODERATE
4197,Molindone,Pramipexole,MOLINDONE/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4198,Olanzapine,Cabergoline,CABERGOLINE/OLANZAPINE [VA Drug Interaction],MODERATE
4199,Olanzapine,Entacapone,ENTACAPONE/OLANZAPINE [VA Drug Interaction],MODERATE
4200,Olanzapine,Levodopa,LEVODOPA/OLANZAPINE [VA Drug Interaction],MODERATE
4201,Olanzapine,Pergolide,OLANZAPINE/PERGOLIDE [VA Drug Interaction],MODERATE
4202,Olanzapine,Pramipexole,OLANZAPINE/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4203,Perphenazine,Cabergoline,CABERGOLINE/PERPHENAZINE [VA Drug Interaction],MODERATE
4204,Perphenazine,Entacapone,ENTACAPONE/PERPHENAZINE [VA Drug Interaction],MODERATE
4205,Perphenazine,Levodopa,LEVODOPA/PERPHENAZINE [VA Drug Interaction],MODERATE
4206,Perphenazine,Pergolide,PERGOLIDE/PERPHENAZINE [VA Drug Interaction],MODERATE
4207,Perphenazine,Pramipexole,PERPHENAZINE/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4208,Pimozide,Cabergoline,CABERGOLINE/PIMOZIDE [VA Drug Interaction],MODERATE
4209,Pimozide,Entacapone,ENTACAPONE/PIMOZIDE [VA Drug Interaction],MODERATE
4210,Pimozide,Levodopa,LEVODOPA/PIMOZIDE [VA Drug Interaction],MODERATE
4211,Pimozide,Pergolide,PERGOLIDE/PIMOZIDE [VA Drug Interaction],MODERATE
4212,Pimozide,Pramipexole,PIMOZIDE/PRAMIPEXOLE [VA Drug Interaction],MODERATE
4213,Prochlorperazine,Cabergoline,CABERGOLINE/PROCHLORPERAZINE [VA Drug Interaction],MODERATE
4214,Prochlorperazine,Entacapone,ENTACAPONE/PROCHLORPERAZINE [VA Drug Interaction],MODERATE
4215,Prochlorperazine,Levodopa,LEVODOPA/PROCHLORPERAZINE [VA Drug Interaction],MODERATE
4216,Prochlorperazine,Pergolide,PERGOLIDE/PROCHLORPERAZINE [VA Drug Interaction],MODERATE
4217,Prochlorperazine,Pramipexole,PRAMIPEXOLE/PROCHLORPERAZINE [VA Drug Interaction],MODERATE
4218,Promazine,Cabergoline,CABERGOLINE/PROMAZINE [VA Drug Interaction],MODERATE
4219,Promazine,Entacapone,ENTACAPONE/PROMAZINE [VA Drug Interaction],MODERATE
4220,Promazine,Levodopa,LEVODOPA/PROMAZINE [VA Drug Interaction],MODERATE
4221,Promazine,Pergolide,PERGOLIDE/PROMAZINE [VA Drug Interaction],MODERATE
4222,Promazine,Pramipexole,PRAMIPEXOLE/PROMAZINE [VA Drug Interaction],MODERATE
4223,Promethazine,Cabergoline,CABERGOLINE/PROMETHAZINE [VA Drug Interaction],MODERATE
4224,Promethazine,Entacapone,ENTACAPONE/PROMETHAZINE [VA Drug Interaction],MODERATE
4225,Promethazine,Levodopa,LEVODOPA/PROMETHAZINE [VA Drug Interaction],MODERATE
4226,Promethazine,Pergolide,PERGOLIDE/PROMETHAZINE [VA Drug Interaction],MODERATE
4227,Promethazine,Pramipexole,PRAMIPEXOLE/PROMETHAZINE [VA Drug Interaction],MODERATE
4228,Propiomazine,Cabergoline,CABERGOLINE/PROPIOMAZINE [VA Drug Interaction],MODERATE
4229,Propiomazine,Entacapone,ENTACAPONE/PROPIOMAZINE [VA Drug Interaction],MODERATE
4230,Propiomazine,Levodopa,LEVODOPA/PROPIOMAZINE [VA Drug Interaction],MODERATE
4231,Propiomazine,Pergolide,PERGOLIDE/PROPIOMAZINE [VA Drug Interaction],MODERATE
4232,Propiomazine,Pramipexole,PRAMIPEXOLE/PROPIOMAZINE [VA Drug Interaction],MODERATE
4233,Thioridazine,Cabergoline,CABERGOLINE/THIORIDAZINE [VA Drug Interaction],MODERATE
4234,Thioridazine,Entacapone,ENTACAPONE/THIORIDAZINE [VA Drug Interaction],MODERATE
4235,Thioridazine,Levodopa,LEVODOPA/THIORIDAZINE [VA Drug Interaction],MODERATE
4236,Thioridazine,Pergolide,PERGOLIDE/THIORIDAZINE [VA Drug Interaction],MODERATE
4237,Thioridazine,Pramipexole,PRAMIPEXOLE/THIORIDAZINE [VA Drug Interaction],MODERATE
4238,Thiothixene,Cabergoline,CABERGOLINE/THIOTHIXENE [VA Drug Interaction],MODERATE
4239,Thiothixene,Entacapone,ENTACAPONE/THIOTHIXENE [VA Drug Interaction],MODERATE
4240,Thiothixene,Levodopa,LEVODOPA/THIOTHIXENE [VA Drug Interaction],MODERATE
4241,Thiothixene,Pergolide,PERGOLIDE/THIOTHIXENE [VA Drug Interaction],MODERATE
4242,Thiothixene,Pramipexole,PRAMIPEXOLE/THIOTHIXENE [VA Drug Interaction],MODERATE
4243,Trifluoperazine,Cabergoline,CABERGOLINE/TRIFLUOPERAZINE [VA Drug Interaction],MODERATE
4244,Trifluoperazine,Entacapone,ENTACAPONE/TRIFLUOPERAZINE [VA Drug Interaction],MODERATE
4245,Trifluoperazine,Levodopa,LEVODOPA/TRIFLUOPERAZINE [VA Drug Interaction],MODERATE
4246,Trifluoperazine,Pergolide,PERGOLIDE/TRIFLUOPERAZINE [VA Drug Interaction],MODERATE
4247,Trifluoperazine,Pramipexole,PRAMIPEXOLE/TRIFLUOPERAZINE [VA Drug Interaction],MODERATE
4248,Saxagliptin,Atazanavir,ATAZANAVIR/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4249,Saxagliptin,Boceprevir,BOCEPREVIR/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4250,Saxagliptin,Clarithromycin,CLARITHROMYCIN/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4251,Saxagliptin,Conivaptan,CONIVAPTAN/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4252,Saxagliptin,Itraconazole,ITRACONAZOLE/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4253,Saxagliptin,Ketoconazole,KETOCONAZOLE/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4254,Saxagliptin,Nefazodone,NEFAZODONE/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4255,Saxagliptin,Posaconazole,POSACONAZOLE/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4256,Saxagliptin,Ritonavir,RITONAVIR/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4257,Saxagliptin,Saquinavir,SAQUINAVIR/SAXAGLIPTIN [VA Drug Interaction],MAJOR
4258,Saxagliptin,Telaprevir,SAXAGLIPTIN/TELAPREVIR [VA Drug Interaction],MAJOR
4259,Saxagliptin,Telithromycin,SAXAGLIPTIN/TELITHROMYCIN [VA Drug Interaction],MAJOR
4260,Saxagliptin,Voriconazole,SAXAGLIPTIN/VORICONAZOLE [VA Drug Interaction],MAJOR
4261,Dronedarone,Boceprevir,BOCEPREVIR/DRONEDARONE [VA Drug Interaction],MAJOR
4262,Dronedarone,Conivaptan,CONIVAPTAN/DRONEDARONE [VA Drug Interaction],MAJOR
4263,Dronedarone,Telaprevir,DRONEDARONE/TELAPREVIR [VA Drug Interaction],MAJOR
4264,Voriconazole,Carbamazepine,CARBAMAZEPINE/VORICONAZOLE [VA Drug Interaction],MAJOR
4265,Voriconazole,Phenobarbital,PHENOBARBITAL/VORICONAZOLE [VA Drug Interaction],MAJOR
4266,Voriconazole,Primidone,PRIMIDONE/VORICONAZOLE [VA Drug Interaction],MAJOR
4267,Darifenacin,Atazanavir,ATAZANAVIR/DARIFENACIN [VA Drug Interaction],MODERATE
4268,Darifenacin,Boceprevir,BOCEPREVIR/DARIFENACIN [VA Drug Interaction],MODERATE
4269,Darifenacin,Conivaptan,CONIVAPTAN/DARIFENACIN [VA Drug Interaction],MODERATE
4270,Darifenacin,Posaconazole,DARIFENACIN/POSACONAZOLE [VA Drug Interaction],MODERATE
4271,Darifenacin,Saquinavir,DARIFENACIN/SAQUINAVIR [VA Drug Interaction],MODERATE
4272,Darifenacin,Telaprevir,DARIFENACIN/TELAPREVIR [VA Drug Interaction],MODERATE
4273,Darifenacin,Telithromycin,DARIFENACIN/TELITHROMYCIN [VA Drug Interaction],MODERATE
4274,Darifenacin,Voriconazole,DARIFENACIN/VORICONAZOLE [VA Drug Interaction],MODERATE
4275,Fesoterodine,Atazanavir,ATAZANAVIR/FESOTERODINE [VA Drug Interaction],MODERATE
4276,Fesoterodine,Boceprevir,BOCEPREVIR/FESOTERODINE [VA Drug Interaction],MODERATE
4277,Fesoterodine,Conivaptan,CONIVAPTAN/FESOTERODINE [VA Drug Interaction],MODERATE
4278,Fesoterodine,Nefazodone,FESOTERODINE/NEFAZODONE [VA Drug Interaction],MODERATE
4279,Fesoterodine,Posaconazole,FESOTERODINE/POSACONAZOLE [VA Drug Interaction],MODERATE
4280,Fesoterodine,Ritonavir,FESOTERODINE/RITONAVIR [VA Drug Interaction],MODERATE
4281,Fesoterodine,Saquinavir,FESOTERODINE/SAQUINAVIR [VA Drug Interaction],MODERATE
4282,Fesoterodine,Telaprevir,FESOTERODINE/TELAPREVIR [VA Drug Interaction],MODERATE
4283,Fesoterodine,Telithromycin,FESOTERODINE/TELITHROMYCIN [VA Drug Interaction],MODERATE
4284,Fesoterodine,Voriconazole,FESOTERODINE/VORICONAZOLE [VA Drug Interaction],MODERATE
4285,Conivaptan,Boceprevir,BOCEPREVIR/CONIVAPTAN [VA Drug Interaction],MAJOR
4286,Conivaptan,Posaconazole,CONIVAPTAN/POSACONAZOLE [VA Drug Interaction],MAJOR
4287,Conivaptan,Telaprevir,CONIVAPTAN/TELAPREVIR [VA Drug Interaction],MAJOR
4288,Conivaptan,Voriconazole,CONIVAPTAN/VORICONAZOLE [VA Drug Interaction],MAJOR
4289,Tolvaptan,Atazanavir,ATAZANAVIR/TOLVAPTAN [VA Drug Interaction],MAJOR
4290,Tolvaptan,Boceprevir,BOCEPREVIR/TOLVAPTAN [VA Drug Interaction],MAJOR
4291,Tolvaptan,Clarithromycin,CLARITHROMYCIN/TOLVAPTAN [VA Drug Interaction],MAJOR
4292,Tolvaptan,Itraconazole,ITRACONAZOLE/TOLVAPTAN [VA Drug Interaction],MAJOR
4293,Tolvaptan,Ketoconazole,KETOCONAZOLE/TOLVAPTAN [VA Drug Interaction],MAJOR
4294,Tolvaptan,Nefazodone,NEFAZODONE/TOLVAPTAN [VA Drug Interaction],MAJOR
4295,Tolvaptan,Posaconazole,POSACONAZOLE/TOLVAPTAN [VA Drug Interaction],MAJOR
4296,Tolvaptan,Ritonavir,RITONAVIR/TOLVAPTAN [VA Drug Interaction],MAJOR
4297,Tolvaptan,Saquinavir,SAQUINAVIR/TOLVAPTAN [VA Drug Interaction],MAJOR
4298,Tolvaptan,Telaprevir,TELAPREVIR/TOLVAPTAN [VA Drug Interaction],MAJOR
4299,Tolvaptan,Telithromycin,TELITHROMYCIN/TOLVAPTAN [VA Drug Interaction],MAJOR
4300,Tolvaptan,Voriconazole,TOLVAPTAN/VORICONAZOLE [VA Drug Interaction],MAJOR
